week,threshold,scenario,tp_weight,fp_penalty,fn_penalty,net_utility,alerts_sent,precision,recall
2,0.2,balanced,1.0,0.5,0.25,0.3110197570254019,7550,0.5589403973509933,0.9809390980939098
2,0.2,false_alert_sensitive,1.0,1.0,0.25,0.10670020861455393,7550,0.5589403973509933,0.9809390980939098
2,0.2,high_precision,1.0,2.0,0.5,-0.30445453429868696,7550,0.5589403973509933,0.9809390980939098
2,0.2,high_recall,1.0,0.25,1.0,0.4056325929561909,7550,0.5589403973509933,0.9809390980939098
2,0.30000000000000004,balanced,1.0,0.5,0.25,0.3255920971898392,6343,0.6216301434652373,0.9165504416550442
2,0.30000000000000004,false_alert_sensitive,1.0,1.0,0.25,0.17833476500184073,6343,0.6216301434652373,0.9165504416550442
2,0.30000000000000004,high_precision,1.0,2.0,0.5,-0.12719352067738374,6343,0.6216301434652373,0.9165504416550442
2,0.30000000000000004,high_recall,1.0,0.25,1.0,0.36617989937415635,6343,0.6216301434652373,0.9165504416550442
2,0.4,balanced,1.0,0.5,0.25,0.3108050067492944,5079,0.6916715888954519,0.8165969316596932
2,0.4,false_alert_sensitive,1.0,1.0,0.25,0.21471959749662536,5079,0.6916715888954519,0.8165969316596932
2,0.4,high_precision,1.0,2.0,0.5,-0.0016566449871149834,5079,0.6916715888954519,0.8165969316596932
2,0.4,high_recall,1.0,0.25,1.0,0.2862314394404221,5079,0.6916715888954519,0.8165969316596932
2,0.5,balanced,1.0,0.5,0.25,0.27067738372806477,4004,0.753996003996004,0.701766620176662
2,0.5,false_alert_sensitive,1.0,1.0,0.25,0.2102405203092404,4004,0.753996003996004,0.701766620176662
2,0.5,high_precision,1.0,2.0,0.5,0.0500061357221745,4004,0.753996003996004,0.701766620176662
2,0.5,high_recall,1.0,0.25,1.0,0.18281384218922567,4004,0.753996003996004,0.701766620176662
2,0.6000000000000001,balanced,1.0,0.5,0.25,0.22057921217327278,3102,0.8149580915538363,0.5876336587633659
2,0.6000000000000001,false_alert_sensitive,1.0,1.0,0.25,0.18536016689164314,3102,0.8149580915538363,0.5876336587633659
2,0.6000000000000001,high_precision,1.0,2.0,0.5,0.060498220640569395,3102,0.8149580915538363,0.5876336587633659
2,0.6000000000000001,high_recall,1.0,0.25,1.0,0.07491716775064425,3102,0.8149580915538363,0.5876336587633659
2,0.7000000000000002,balanced,1.0,0.5,0.25,0.15241133881457847,2253,0.8735019973368842,0.45746164574616455
2,0.7000000000000002,false_alert_sensitive,1.0,1.0,0.25,0.13492453061725365,2253,0.8735019973368842,0.45746164574616455
2,0.7000000000000002,high_precision,1.0,2.0,0.5,0.028347036446189716,2253,0.8735019973368842,0.45746164574616455
2,0.7000000000000002,high_recall,1.0,0.25,1.0,-0.05365689041600196,2253,0.8735019973368842,0.45746164574616455
2,0.8,balanced,1.0,0.5,0.25,0.08856914958890662,1610,0.9236024844720497,0.34565318456531846
2,0.8,false_alert_sensitive,1.0,1.0,0.25,0.08102221131427169,1610,0.9236024844720497,0.34565318456531846
2,0.8,high_precision,1.0,2.0,0.5,-0.020431954841084794,1610,0.9236024844720497,0.34565318456531846
2,0.8,high_recall,1.0,0.25,1.0,-0.16673825009203583,1610,0.9236024844720497,0.34565318456531846
4,0.2,balanced,1.0,0.5,0.25,0.3301938888207142,6982,0.5939558865654541,0.9639702463970247
4,0.2,false_alert_sensitive,1.0,1.0,0.25,0.15624616517364093,6982,0.5939558865654541,0.9639702463970247
4,0.2,high_precision,1.0,2.0,0.5,-0.19640446680574303,6982,0.5939558865654541,0.9639702463970247
4,0.2,high_recall,1.0,0.25,1.0,0.4029021965885385,6982,0.5939558865654541,0.9639702463970247
4,0.30000000000000004,balanced,1.0,0.5,0.25,0.3485090195115965,5784,0.6725449515905948,0.9042305904230591
4,0.30000000000000004,false_alert_sensitive,1.0,1.0,0.25,0.23229844152656767,5784,0.6725449515905948,0.9042305904230591
4,0.30000000000000004,high_precision,1.0,2.0,0.5,-0.012762302122959873,5784,0.6725449515905948,0.9042305904230591
4,0.30000000000000004,high_recall,1.0,0.25,1.0,0.3686955454657013,5784,0.6725449515905948,0.9042305904230591
4,0.4,balanced,1.0,0.5,0.25,0.33559332433427413,4710,0.7479830148619957,0.8189214318921432
4,0.4,false_alert_sensitive,1.0,1.0,0.25,0.26276230212295987,4710,0.7479830148619957,0.8189214318921432
4,0.4,high_precision,1.0,2.0,0.5,0.09320161983065407,4710,0.7479830148619957,0.8189214318921432
4,0.4,high_recall,1.0,0.25,1.0,0.30031292183089947,4710,0.7479830148619957,0.8189214318921432
4,0.5,balanced,1.0,0.5,0.25,0.30712357344459446,3872,0.8137913223140496,0.7324500232450023
4,0.5,false_alert_sensitive,1.0,1.0,0.25,0.26288501656644986,3872,0.8137913223140496,0.7324500232450023
4,0.5,high_precision,1.0,2.0,0.5,0.13909682169591361,3872,0.8137913223140496,0.7324500232450023
4,0.5,high_recall,1.0,0.25,1.0,0.22330960854092527,3872,0.8137913223140496,0.7324500232450023
4,0.6000000000000001,balanced,1.0,0.5,0.25,0.2678549515277948,3203,0.8669996877926943,0.6455137145513714
4,0.6000000000000001,false_alert_sensitive,1.0,1.0,0.25,0.24171677506442507,3203,0.8669996877926943,0.6455137145513714
4,0.6000000000000001,high_precision,1.0,2.0,0.5,0.14265554055712357,3203,0.8669996877926943,0.6455137145513714
4,0.6000000000000001,high_recall,1.0,0.25,1.0,0.14056939501779359,3203,0.8669996877926943,0.6455137145513714
4,0.7000000000000002,balanced,1.0,0.5,0.25,0.2211621057798503,2578,0.9235841737781226,0.5534635053463506
4,0.7000000000000002,false_alert_sensitive,1.0,1.0,0.25,0.2090747330960854,2578,0.9235841737781226,0.5534635053463506
4,0.7000000000000002,high_precision,1.0,2.0,0.5,0.12596637624248375,2578,0.9235841737781226,0.5534635053463506
4,0.7000000000000002,high_recall,1.0,0.25,1.0,0.050404957663517,2578,0.9235841737781226,0.5534635053463506
4,0.8,balanced,1.0,0.5,0.25,0.16833353785740582,2060,0.9645631067961165,0.4618781961878196
4,0.8,false_alert_sensitive,1.0,1.0,0.25,0.16385446067002085,2060,0.9645631067961165,0.4618781961878196
4,0.8,high_precision,1.0,2.0,0.5,0.08387532212541417,2060,0.9645631067961165,0.4618781961878196
4,0.8,high_recall,1.0,0.25,1.0,-0.04248987605841208,2060,0.9645631067961165,0.4618781961878196
6,0.2,balanced,1.0,0.5,0.25,0.3422505828936066,6670,0.616791604197901,0.9562993956299396
6,0.2,false_alert_sensitive,1.0,1.0,0.25,0.18542152411338814,6670,0.616791604197901,0.9562993956299396
