target,metric,mean_delta,ci_low,ci_high,positive_fraction,negative_fraction,worst_case_delta,best_case_delta,interpretation
dropout,AUROC_delta,-0.013301214734493302,-0.017324083107747766,-0.00949595183213203,0.047619047619047616,0.9523809523809523,-0.04921781468995612,0.020873669959487584,positive is better for AUROC/AUPRC; negative is better for ECE/Brier
dropout,AUPRC_delta,-0.015988804088278723,-0.02050283311723059,-0.011934093810219829,0.07142857142857142,0.9285714285714286,-0.06776974779274936,0.015562399614383438,positive is better for AUROC/AUPRC; negative is better for ECE/Brier
dropout,ECE_delta,-0.03329959448270915,-0.063328827838778,-0.00444544714620807,0.42857142857142855,0.5714285714285714,-0.2542281990559047,0.1509290720881423,negative indicates better calibration/error for stable-causal model
dropout,Brier_delta,-0.023143918581308896,-0.043694876605624336,-0.00576260976006418,0.42857142857142855,0.5714285714285714,-0.22822413548465073,0.07602256130842211,negative indicates better calibration/error for stable-causal model
failure,AUROC_delta,-0.013036695841193924,-0.019271297286066136,-0.007239427245265893,0.23809523809523808,0.7619047619047619,-0.06605114824292913,0.02227909077224155,positive is better for AUROC/AUPRC; negative is better for ECE/Brier
failure,AUPRC_delta,-0.010321798026013853,-0.01548764691587935,-0.004828129272388269,0.3333333333333333,0.6666666666666666,-0.042651664882162516,0.018604900995912832,positive is better for AUROC/AUPRC; negative is better for ECE/Brier
failure,ECE_delta,-0.12312904402861062,-0.15623335900182325,-0.0923606405254837,0.16666666666666666,0.8333333333333334,-0.30168823912066284,0.059652189541504,negative indicates better calibration/error for stable-causal model
failure,Brier_delta,-0.052592800785486137,-0.06899076617651896,-0.038542672898001756,0.14285714285714285,0.8571428571428571,-0.17112344788593295,0.016844243399369768,negative indicates better calibration/error for stable-causal model
