approach,target,AUROC,AUPRC,Brier,ECE,Precision,Recall,F1
Separate single-outcome models,dropout,0.8927434288938703,0.8256520240998547,0.1118768178169513,0.011982027146958608,0.7953929539295393,0.6963226571767497,0.7425679949399114
Separate single-outcome models,failure,0.7646748487878615,0.4463625878134992,0.1448280490723592,0.007446494159414234,0.556910569105691,0.1545403271291596,0.24194260485651214
Joint multi-output stable model,dropout,0.8927434288938703,0.8256520240998547,0.1118768178169513,0.011982027146958608,0.7953929539295393,0.6963226571767497,0.7425679949399114
Joint multi-output stable model,failure,0.7649675160164209,0.4470167152772399,0.14470642806524886,0.011229698253124103,0.572354211663067,0.14946418499717992,0.2370304114490161
