target,model,mean_AUROC,std_AUROC,mean_ECE,mean_Brier
dropout,baseline_all_features,0.8880165466120875,0.004913034050377597,0.11011036288448968,0.1291746547818506
dropout,stable_causal_features,0.8876851593871705,0.00548747819058214,0.017839002687330335,0.11440801643834836
failure,baseline_all_features,0.7484712482865454,0.013088012523929519,0.2304406737254315,0.2063094719041758
failure,stable_causal_features,0.7486786924575921,0.015235023387641466,0.010189888078375602,0.14756218797529344
