week,threshold,alerts_sent,true_at_risk_reached,false_alerts,missed_at_risk,advisor_hours,precision,recall,net_utility_balanced,net_utility_false_alert_sensitive,net_utility_high_precision,net_utility_high_recall,net_utility
2,0.2,7550,4220,3330,82,1283.5,0.5589403973509933,0.9809390980939098,0.3110197570254019,0.10670020861455393,-0.30445453429868696,0.4056325929561909,0.3110197570254019
2,0.30000000000000004,6343,3943,2400,359,1078.3100000000002,0.6216301434652373,0.9165504416550442,0.3255920971898392,0.17833476500184073,-0.12719352067738374,0.36617989937415635,0.3255920971898392
2,0.4,5079,3513,1566,789,863.4300000000001,0.6916715888954519,0.8165969316596932,0.3108050067492944,0.21471959749662536,-0.0016566449871149834,0.2862314394404221,0.3108050067492944
2,0.5,4004,3019,985,1283,680.6800000000001,0.753996003996004,0.701766620176662,0.27067738372806477,0.2102405203092404,0.0500061357221745,0.18281384218922567,0.27067738372806477
2,0.6000000000000001,3102,2528,574,1774,527.34,0.8149580915538363,0.5876336587633659,0.22057921217327278,0.18536016689164314,0.060498220640569395,0.07491716775064425,0.22057921217327278
2,0.7000000000000002,2253,1968,285,2334,383.01000000000005,0.8735019973368842,0.45746164574616455,0.15241133881457847,0.13492453061725365,0.028347036446189716,-0.05365689041600196,0.15241133881457847
2,0.8,1610,1487,123,2815,273.70000000000005,0.9236024844720497,0.34565318456531846,0.08856914958890662,0.08102221131427169,-0.020431954841084794,-0.16673825009203583,0.08856914958890662
4,0.2,6982,4147,2835,155,1186.94,0.5939558865654541,0.9639702463970247,0.3301938888207142,0.15624616517364093,-0.19640446680574303,0.4029021965885385,0.3301938888207142
4,0.30000000000000004,5784,3890,1894,412,983.2800000000001,0.6725449515905948,0.9042305904230591,0.3485090195115965,0.23229844152656767,-0.012762302122959873,0.3686955454657013,0.3485090195115965
4,0.4,4710,3523,1187,779,800.7,0.7479830148619957,0.8189214318921432,0.33559332433427413,0.26276230212295987,0.09320161983065407,0.30031292183089947,0.33559332433427413
4,0.5,3872,3151,721,1151,658.24,0.8137913223140496,0.7324500232450023,0.30712357344459446,0.26288501656644986,0.13909682169591361,0.22330960854092527,0.30712357344459446
4,0.6000000000000001,3203,2777,426,1525,544.51,0.8669996877926943,0.6455137145513714,0.2678549515277948,0.24171677506442507,0.14265554055712357,0.14056939501779359,0.2678549515277948
4,0.7000000000000002,2578,2381,197,1921,438.26000000000005,0.9235841737781226,0.5534635053463506,0.2211621057798503,0.2090747330960854,0.12596637624248375,0.050404957663517,0.2211621057798503
4,0.8,2060,1987,73,2315,350.20000000000005,0.9645631067961165,0.4618781961878196,0.16833353785740582,0.16385446067002085,0.08387532212541417,-0.04248987605841208,0.16833353785740582
6,0.2,6670,4114,2556,188,1133.9,0.616791604197901,0.9562993956299396,0.3422505828936066,0.18542152411338814,-0.13400417229107867,0.403362375751626,0.3422505828936066
