week,threshold,scenario,tp_weight,fp_penalty,fn_penalty,net_utility,alerts_sent,precision,recall
12,0.2,high_recall,1.0,0.25,1.0,0.41554178426800836,5886,0.6916411824668706,0.9463040446304045
12,0.30000000000000004,balanced,1.0,0.5,0.25,0.38363602896060867,4991,0.7667802043678622,0.8895862389586239
12,0.5,false_alert_sensitive,1.0,1.0,0.25,0.3383850779236716,3898,0.8814776808619805,0.798698279869828
12,0.6000000000000001,high_precision,1.0,2.0,0.5,0.26647441403853234,3493,0.9249928428285141,0.7510460251046025
