week,lead_time_weeks_to_week12,empirical_utility,AUROC,AUPRC,Brier,ECE,Precision,Recall,F1,F1_opt_th,Precision_opt_th,Recall_opt_th,opt_threshold,OOF_train_F1_at_opt_threshold,model,target,seed,AUROC_CI_low,AUROC_CI_high,n_features
2,10,0.7836025753769248,0.8011941417518551,0.8306002154868661,0.18121781722105632,0.013353985411155737,0.753996003996004,0.701766620176662,0.7269443775583915,0.7502996404314822,0.6577933450087565,0.8730822873082287,0.35,0.7433368869936035,HistGradientBoosting,any_risk,42,0.7917788141945702,0.809086836363232,75
4,8,0.7979455263714983,0.853725460268569,0.8865082292331179,0.15401012779793205,0.01592439900027233,0.8137913223140496,0.7324500232450023,0.770981159774896,0.7811353334772286,0.7290491539081386,0.8412366341236635,0.375,0.770863413225527,HistGradientBoosting,any_risk,42,0.8452684047464337,0.8611668360489981,75
6,6,0.7868176517035075,0.8706919856525103,0.9012758134708257,0.14407902742528106,0.011967599320019322,0.8285568065506653,0.7526731752673175,0.7887941534713764,0.7954571010907455,0.7704203877150948,0.8221757322175732,0.4,0.7883679704296006,HistGradientBoosting,any_risk,42,0.8633662750912943,0.8778481489681135,75
8,4,0.7834547707513893,0.8959704876084863,0.9229771255650527,0.1275708284039862,0.01351066043567584,0.8590105101256088,0.7789400278940027,0.8170181640863099,0.8171152518978606,0.8087431693989071,0.8256624825662483,0.4,0.8083975346687211,HistGradientBoosting,any_risk,42,0.8873495556898195,0.9028048636815383,75
10,2,0.7688554858416616,0.9084294946511118,0.9334166197679226,0.117865298576385,0.011240516954470401,0.8788115715402658,0.7838214783821479,0.8286030224843347,0.8336524652943992,0.8591514553527381,0.8096234309623431,0.45000000000000007,0.8242924056207214,HistGradientBoosting,any_risk,42,0.9002339848513177,0.9149564199797641,75
12,0,0.7493924680761376,0.914745706200331,0.9380950784561048,0.11370633576837326,0.01755210566877953,0.8814776808619805,0.798698279869828,0.8380487804878048,0.8339396784414975,0.8421426878407205,0.8258949325894933,0.42500000000000004,0.833044982698962,HistGradientBoosting,any_risk,42,0.9072126704093268,0.9214790825082532,75
