week,model,target,AUROC_mean,AUROC_sd,AUPRC_mean,ECE_mean,Brier_mean,F1_mean,Precision_mean,Recall_mean,n_features
2,Logistic,dropout,0.7920362232269375,0.0,0.6663099171738004,0.1447197693547681,0.18268886564631215,0.6183111111111111,0.5616925064599483,0.6876235666271254,82.0
2,Logistic,failure,0.6628214341569945,0.0,0.3352889507898758,0.25692698504781375,0.23021777090357007,0.41507352941176473,0.30788110171802563,0.6367738296672307,82.0
2,RandomForest,dropout,0.7960976046777898,0.0002178362625092951,0.6870856784427141,0.08781075117824944,0.1648687735384046,0.599941421489469,0.6583299331488475,0.5510742058784763,82.0
2,RandomForest,failure,0.6677968802448927,0.0003601559204312021,0.3324687145884026,0.1414899951418929,0.18220925615834935,0.33579048928579724,0.3747141489316663,0.3041925173904869,82.0
2,Stable-Causal-Temporal,dropout,0.7992455956925758,0.0007337176930265138,0.6967028506841296,0.01622380757821972,0.15481907249866014,0.5548545028091679,0.7599864220108717,0.4369315935152234,75.0
2,Stable-Causal-Temporal,failure,0.6758925178386801,0.0028527804698816194,0.3397416543337204,0.010432579137918499,0.15973239238889644,0.03326104968371829,0.4476190476190476,0.017296484301560444,75.0
2,XGBoost,dropout,0.7981744738494907,0.0004880053981165473,0.6933669493015112,0.14042577003787313,0.1767816048907304,0.6213502611071475,0.594629929664475,0.6505865295900883,82.0
2,XGBoost,failure,0.6795361813418103,0.0003120021398282885,0.35052042472513373,0.2503624984378678,0.2235376608771872,0.4240599926145084,0.31754963931905955,0.6380898665162625,82.0
4,Logistic,dropout,0.8397110950694365,0.0,0.7543635533269045,0.12921202797627745,0.1543884005513292,0.6832369942196532,0.6662908680947013,0.701067615658363,82.0
4,Logistic,failure,0.6928889338261572,0.0,0.3651012824644683,0.2485199660271323,0.22276037527934844,0.4364118092354277,0.3283964682426659,0.6503102086858432,82.0
4,RandomForest,dropout,0.8422536301324565,0.00035859158878434654,0.7624147845646387,0.07650995945675747,0.14041070717960594,0.6844913137912273,0.7319534552850735,0.6428100698563332,82.0
4,RandomForest,failure,0.7080695038005608,0.0016727644926029762,0.36909821118199626,0.12657501983477434,0.17255288541973343,0.3706929634884057,0.41229532120316553,0.3367174280879865,82.0
4,Stable-Causal-Temporal,dropout,0.8465574191103249,0.00045664233700840707,0.7736601336243946,0.015942968402883652,0.13204510287326324,0.6693785522545763,0.8040902627195692,0.5733491498616053,75.0
