AUROC,AUPRC,Brier,ECE,Precision,Recall,F1,F1_opt_th,Precision_opt_th,Recall_opt_th,opt_threshold,OOF_train_F1_at_opt_threshold,week,model,target,seed,AUROC_CI_low,AUROC_CI_high,n_features
0.7920362232269376,0.6663099171738004,0.18268886564631215,0.1447197693547681,0.5616925064599483,0.6876235666271253,0.6183111111111111,0.6183111111111111,0.5616925064599483,0.6876235666271253,0.5,0.608644027546901,2,Logistic,dropout,42,0.7832860842151641,0.8012523950475857,82
0.7963378545526696,0.6879785978622087,0.1647674659024539,0.08779559648169712,0.6609605325725154,0.549624357453539,0.6001727115716753,0.617043847241867,0.5580428525743524,0.689996045867932,0.4,0.6029811901100202,2,RandomForest,dropout,42,0.787112462279334,0.8050829170441588,82
0.7981553129604066,0.6927094122402627,0.1768555303570167,0.1402794174143238,0.5957986236870699,0.6504547251878213,0.6219281663516069,0.6232457718603814,0.5718058765269066,0.6848556741795176,0.475,0.6084877465630604,2,XGBoost,dropout,42,0.7876049095715135,0.8068742650534143,82
0.7997438257142415,0.6971232797652406,0.15473500908758012,0.0159162438774223,0.7623349548297429,0.43376828786081456,0.5529233870967742,0.6222392932590743,0.6049290515309933,0.6405693950177936,0.325,0.6087851308765837,2,Stable-Causal-Temporal,dropout,42,0.789205459009093,0.8090213221842231,75
0.6628214341569945,0.3352889507898758,0.23021777090357007,0.25692698504781375,0.30788110171802563,0.6367738296672307,0.41507352941176473,0.41507352941176473,0.30788110171802563,0.6367738296672307,0.5,0.4169124877089479,2,Logistic,failure,42,0.6467544982176289,0.6782391356075796,82
0.6675028713852921,0.3327564878903384,0.18219425821952814,0.14131593808326817,0.37856645789839943,0.3068245910885505,0.33894080996884735,0.4152210408505876,0.3102006688963211,0.6277495769881557,0.375,0.4235617122176463,2,RandomForest,failure,42,0.6551956961187602,0.6830566203868119,82
0.6796584466849388,0.3500774121503537,0.22350253037601384,0.25033779741833,0.3183098591549296,0.6373378454596729,0.42457260943077213,0.4265842349304482,0.30666666666666664,0.700507614213198,0.475,0.43541029046601604,2,XGBoost,failure,42,0.6663501166735867,0.6953764476546884,82
0.6791075670821417,0.3422822301113914,0.15932906710255812,0.010564850614264196,0.47619047619047616,0.01692047377326565,0.032679738562091505,0.429893726431265,0.3087909381925634,0.7072758037225042,0.2,0.43112273916505517,2,Stable-Causal-Temporal,failure,42,0.6644365451851905,0.6932608867212333,75
0.8397110950694364,0.7543635533269046,0.1543884005513292,0.12921202797627745,0.6662908680947013,0.701067615658363,0.6832369942196532,0.6848496914194704,0.6896551724137931,0.6801107156979043,0.525,0.6667109722868346,4,Logistic,dropout,42,0.829848640991642,0.8483034305937055,82
0.8421332472148698,0.7623028715927509,0.1404049751755012,0.07635891220148283,0.7329724853405503,0.6425464610517991,0.684787189211968,0.6846339501206757,0.6966844044207942,0.6729932779754844,0.45000000000000007,0.6708421267615222,4,RandomForest,dropout,42,0.8324045573995494,0.8505885911155149,82
0.8456180899431365,0.7697607269236423,0.15029597842308934,0.12508092646357113,0.6759366550791811,0.6919731119019376,0.6838608831574834,0.6839774557165862,0.6965969659696597,0.671807038355081,0.525,0.6755156218092709,4,XGBoost,dropout,42,0.8359468422688885,0.8540181994800257,82
