train_module,test_module,target,baseline_AUROC,stable_causal_AUROC,baseline_AUPRC,stable_causal_AUPRC,baseline_ECE,stable_causal_ECE,baseline_Brier,stable_causal_Brier,AUROC_delta,AUPRC_delta,ECE_delta,Brier_delta
AAA,BBB,dropout,0.8609230949167137,0.8530550855466732,0.7711088722414682,0.7521021367493177,0.19443341166590938,0.13117993156300517,0.19365046193202723,0.15172706462687854,-0.007868009370040507,-0.019006735492150484,-0.06325348010290421,-0.041923397305148685
AAA,BBB,failure,0.6443639929331422,0.6360018608827085,0.3297814998655107,0.3145040839016864,0.11007331978811538,0.16972550932961938,0.18807651987910778,0.2013860722371488,-0.00836213205043368,-0.015277415963824315,0.059652189541504,0.013309552358041016
AAA,CCC,dropout,0.8111505654763437,0.8320242354358313,0.8072828032399617,0.8228452028543451,0.2004298773166977,0.11425905031504632,0.21983893844106564,0.17565190031650424,0.020873669959487584,0.015562399614383438,-0.08617082700165138,-0.0441870381245614
AAA,CCC,failure,0.6784560985603539,0.6662207022589961,0.285918249932599,0.2786462515317057,0.1409619779873284,0.13915448463098487,0.18631364461228522,0.1726975486282911,-0.012235396301357837,-0.00727199840089332,-0.0018074933563435314,-0.013616095983994131
AAA,DDD,dropout,0.8337823636665009,0.8226397591027128,0.7745935132291776,0.7573478921893527,0.07998183633234086,0.1429738793234182,0.15464132138531386,0.17372244799185993,-0.011142604563788128,-0.017245621039824854,0.06299204299107734,0.019081126606546067
AAA,DDD,failure,0.6594197734876834,0.6623513622215228,0.3331435519584993,0.33769445095720974,0.1457353720310939,0.1867339171478316,0.19964342394477771,0.20873498156169853,0.002931588733839363,0.004550898998710418,0.0409985451167377,0.00909155761692082
AAA,EEE,dropout,0.8656503433801025,0.8164325286901464,0.7381788180041456,0.6704090702113963,0.1556138177064261,0.08871689051328012,0.14538936813928438,0.1314241528081249,-0.04921781468995612,-0.06776974779274936,-0.06689692719314598,-0.013965215331159492
AAA,EEE,failure,0.7219056999513902,0.7153043664820293,0.37025537586174234,0.3715149391788324,0.12001152822502459,0.16834821024948948,0.1622629177705359,0.17746861583596008,-0.0066013334693608705,0.00125956331709004,0.048336682024464894,0.015205698065424184
AAA,FFF,dropout,0.8450025575264857,0.8338302785510151,0.7722209923594958,0.7476510774397735,0.07941316856353078,0.10602850187016401,0.14082095074056955,0.14623772557595824,-0.011172278975470573,-0.02456991491972227,0.026615333306633224,0.005416774835388688
AAA,FFF,failure,0.7009863365755002,0.6992819943397544,0.37376668089007,0.37808324636922774,0.12587480640578602,0.17794099154642398,0.17987592582422413,0.1967201692235939,-0.0017043422357458926,0.0043165654791577635,0.05206618514063796,0.016844243399369768
AAA,GGG,dropout,0.7356040655970086,0.6869905783730281,0.3188331356336246,0.2979777077842458,0.5060336761758755,0.3486430626244402,0.37035138660870653,0.2519497640143324,-0.04861348722398051,-0.02085542784937877,-0.15739061355143524,-0.11840162259437415
AAA,GGG,failure,0.546021047059253,0.5422876887785526,0.3379373188739885,0.348495423373835,0.3197260090284455,0.1602101975825116,0.3107025987255422,0.2408626838365317,-0.0037333582807004273,0.01055810449984651,-0.1595158114459339,-0.06983991488901048
BBB,AAA,dropout,0.7876154749145102,0.7679273209819834,0.5583555261796073,0.5327333805952942,0.028122979888622772,0.048405233914556874,0.10715602353650107,0.11038301654503328,-0.019688153932526875,-0.025622145584313083,0.0202822540259341,0.003226993008532214
BBB,AAA,failure,0.7777610517336545,0.7497114757388729,0.3368961961138508,0.3461877679652289,0.2672155716252279,0.05230738001171652,0.17047937030437,0.09842722883043531,-0.02804957599478164,0.009291571851378078,-0.21490819161351138,-0.07205214147393468
BBB,CCC,dropout,0.842941300621329,0.8363295772182785,0.8392166333487641,0.8368214941546408,0.07130854415262422,0.06566587014907448,0.15901427360550777,0.1600412889928023,-0.006611723403050496,-0.0023951391941232636,-0.005642674003549744,0.001027015387294522
BBB,CCC,failure,0.6947207721855609,0.6736989890967136,0.2882800152754629,0.2739360529565398,0.32791544738308387,0.07861144490529529,0.2545684701363497,0.15615529356749422,-0.02102178308884739,-0.014343962318923098,-0.24930400247778858,-0.09841317656885548
