approach,mean_AUROC,mean_AUPRC,mean_ECE,mean_Brier,mean_F1,empirical_recourse_validity_reference
Joint multi-output stable model,0.8288554724551456,0.6363343696885473,0.011605862700041356,0.12829162294110008,0.4897992031944638,0.76
Separate single-outcome models,0.8287091388408658,0.636007305956677,0.00971426065318642,0.12835243344465525,0.4922552998982118,0.76
